stage,learning_rate,max_depth,subsample,colsample_bytree,alpha,lambda
delta_start,0.10843225738298345,10,0.8625351996585374,0.8311523123703072,0.21951809378000303,0.6977909542956615
delta_tech,0.1394474847747008,10,0.7657371910538666,0.8822482866527931,0.679837729986089,0.55268164430674
delta_spe,0.09557930316050696,10,0.9064300690854222,0.8609871445460084,0.021554573902841212,0.6309764147086138
delta_equipment,0.20159609298466302,9,0.9693187551463334,0.9978737749241726,0.46942044822240214,0.2805632105758821
delta_contractor,0.08119342373891543,10,0.9607686614784046,0.979082499721805,0.9391035582428618,0.20908511319606046
delta_ready,0.10563422701971163,9,0.6389104280173192,0.9540592315003177,0.11377723746754048,0.6067412219608548
delta_params,0.1405237716347636,10,0.9050938989428621,0.9803940147244454,0.37596040433331124,0.5696113335842269
delta_integration,0.12147472252352953,8,0.9254959426076323,0.9846118986665328,0.3781433246247623,0.18918886677448266
delta_monitoring,0.11450947030959728,10,0.9967409260764166,0.9342002862670991,0.8096542330836123,0.7147558118204219
delta_commisioning,0.10178565322298565,9,0.9986936086406049,0.9260807862524943,0.5625573487218324,0.6541488984858015
